Options in 'main-linux-arm64-working' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64-working' (PKG/CArchive):
 length, uncompressed_length, is_compressed, typecode, name
 19253, 49259, 1, 'x', 'playwright-1.55.0.dist-info/RECORD'
 8, 0, 1, 'x', 'playwright-1.55.0.dist-info/REQUESTED'
 98, 91, 1, 'x', 'playwright-1.55.0.dist-info/WHEEL'
 100, 130, 1, 'x', 'playwright-1.55.0.dist-info/entry_points.txt'
 3976, 11399, 1, 'x', 'playwright-1.55.0.dist-info/licenses/LICENSE'
 19, 11, 1, 'x', 'playwright-1.55.0.dist-info/top_level.txt'
 498, 805, 1, 'x', 'playwright/__init__.py'
 579, 1064, 1, 'x', 'playwright/__main__.py'
 8, 0, 1, 'x', 'playwright/_impl/__init__.py'
 445, 691, 1, 'x', 'playwright/_impl/__pyinstaller/__init__.py'
 438, 695, 1, 'x', 'playwright/_impl/__pyinstaller/hook-playwright.async_api.py'
 438, 695, 1, 'x', 'playwright/_impl/__pyinstaller/hook-playwright.sync_api.py'
 928, 2392, 1, 'x', 'playwright/_impl/_accessibility.py'
 2059, 6344, 1, 'x', 'playwright/_impl/_api_structures.py'
 1008, 2702, 1, 'x', 'playwright/_impl/_artifact.py'
 4096, 32959, 1, 'x', 'playwright/_impl/_assertions.py'
 1140, 3242, 1, 'x', 'playwright/_impl/_async_base.py'
 2547, 9846, 1, 'x', 'playwright/_impl/_browser.py'
 6341, 28101, 1, 'x', 'playwright/_impl/_browser_context.py'
 3736, 14061, 1, 'x', 'playwright/_impl/_browser_type.py'
 682, 1371, 1, 'x', 'playwright/_impl/_cdp_session.py'
 909, 3040, 1, 'x', 'playwright/_impl/_clock.py'
 6017, 24163, 1, 'x', 'playwright/_impl/_connection.py'
 935, 2389, 1, 'x', 'playwright/_impl/_console_message.py'
 820, 1877, 1, 'x', 'playwright/_impl/_dialog.py'
 805, 1977, 1, 'x', 'playwright/_impl/_download.py'
 724, 1399, 1, 'x', 'playwright/_impl/_driver.py'
 2887, 14514, 1, 'x', 'playwright/_impl/_element_handle.py'
 766, 1761, 1, 'x', 'playwright/_impl/_errors.py'
 552, 1044, 1, 'x', 'playwright/_impl/_event_context_manager.py'
 3659, 18308, 1, 'x', 'playwright/_impl/_fetch.py'
 811, 1859, 1, 'x', 'playwright/_impl/_file_chooser.py'
 5013, 28210, 1, 'x', 'playwright/_impl/_frame.py'
 872, 2234, 1, 'x', 'playwright/_impl/_glob.py'
 658, 1410, 1, 'x', 'playwright/_impl/_greenlets.py'
 1615, 4504, 1, 'x', 'playwright/_impl/_har_router.py'
 6059, 19143, 1, 'x', 'playwright/_impl/_helper.py'
 1455, 4866, 1, 'x', 'playwright/_impl/_impl_to_api_mapping.py'
